id,class,relevant_words
2,xenophobia,"[""raça"", ""branco""]"
6,misogyny,"[""puta🤣🤣🤣🤣🤣🤣🤣"", ""caçando""]"
34,lgbtphobia,"[""população."", ""vindos""]"
34,misogyny,"[""população."", ""vindos""]"
34,political,"[""janjão"", ""população.""]"
45,political,"[""fascista"", ""safado""]"
45,racism,"[""japonês"", ""asiático.""]"
45,xenophobia,"[""japonês"", ""asiático.""]"
49,misogyny,"[""filha"", ""puta""]"
52,misogyny,"[""vagabunda"", ""rapaz""]"
56,political,"[""tirem"", ""bilionário...""]"
58,political,"[""cano????????????""]"
59,political,"[""imediatamente"", ""faça""]"
63,political,"[""caralhoooo""]"
76,political,"[""bolsonaro"", ""prendendo""]"
86,political,"[""senador"", ""Brasil?""]"
93,political,"[""governo"", ""lula""]"
109,body_shame,"[""patinho"", ""feio""]"
111,misogyny,"[""mulher"", ""kkkkkkk""]"
112,political,"[""presidente"", ""desastre""]"
113,political,"[""governo."", ""chupa""]"
117,political,"[""direita"", ""Brasil.""]"
120,misogyny,"[""papa"", ""maria""]"
143,lgbtphobia,"[""traveco,"", ""delicado,""]"
143,misogyny,"[""feia,"", ""bonito""]"
155,political,"[""congresso"", ""corruptos""]"
171,misogyny,"[""puta"", ""[03/08/2019""]"
173,misogyny,"[""namorada"", ""segundos""]"
175,misogyny,"[""gorda,"", ""feia,""]"
199,lgbtphobia,"[""travesti?"", ""disse""]"
218,body_shame,"[""feia"", ""gorda""]"
218,misogyny,"[""gorda"", ""feia""]"
223,lgbtphobia,"[""viado"", ""sapatão""]"
223,misogyny,"[""sapatão"", ""sala""]"
231,misogyny,"[""blogueirinha.""]"
231,political,"[""blogueirinha.""]"
248,misogyny,"[""preciso"", ""ir""]"
258,lgbtphobia,"[""luta"", ""continua""]"
262,lgbtphobia,"[""gay\""O"", ""senador,""]"
271,misogyny,"[""filha"", ""puta""]"
296,political,"[""bolsonaro,"", ""nível""]"
325,misogyny,"[""mulher"", ""burra,""]"
338,xenophobia,"[""\""refugiados\"""", ""ocidente.""]"
344,political,"[""bolsonaro"", ""lula""]"
345,ageism,"[""geração"", ""jovens""]"
357,political,"[""lado.debbolsonaro"", ""lula""]"
378,xenophobia,"[""sulista"", ""histórica""]"
379,political,"[""desgoverno"", ""lula""]"
380,misogyny,"[""vagabunda,"", ""escrevi""]"
391,racism,"[""preto,"", ""pretao,""]"
398,misogyny,"[""dentro"", ""informação""]"
454,political,"[""fascista,"", ""lixos""]"
473,misogyny,"[""namorada,"", ""@homemdeverdade""]"
487,political,"[""Pt,"", ""cadeia""]"
501,body_shame,"[""mae""]"
501,misogyny,"[""mae""]"
503,xenophobia,"[""china!"", ""vá""]"
510,body_shame,"[""deputados"", ""aproveitou""]"
535,lgbtphobia,"[""\""mulher\"""", ""homem,""]"
551,ageism,"[""ficando"", ""ta""]"
551,capacitism,"[""esclerosado...."", ""ficando""]"
567,aporophobia,"[""liso"", ""miserável""]"
583,lgbtphobia,"[""viado"", ""😂😂""]"
599,political,"[""socialista"", ""boquinha""]"
619,lgbtphobia,"[""sapatao."", ""super""]"
619,misogyny,"[""sapatao."", ""@beckttx:""]"
687,misogyny,"[""mulher"", ""feia""]"
718,lgbtphobia,"[""acharam"", ""ato""]"
726,lgbtphobia,"[""bixa"", ""figurinha""]"
726,political,"[""bolsonaro"", ""celular""]"
734,misogyny,"[""corna"", ""racional""]"
736,misogyny,"[""Porca""]"
741,lgbtphobia,"[""XX"", ""biologicamente""]"
741,misogyny,"[""biologicamente"", ""XX""]"
751,political,"[""ESQUERDA"", ""povo!!!""]"
762,political,"[""governo."", ""esquerda""]"
771,misogyny,"[""corpo"", ""oitava""]"
775,misogyny,"[""menina"", ""automaticamente""]"
788,political,"[""ministra"", ""esquerdopatas""]"
794,lgbtphobia,"[""sapatão"", ""mulher""]"
800,racism,"[""chineses"", ""lições""]"
800,xenophobia,"[""chineses"", ""\""Malditos""]"
801,lgbtphobia,"[""Fufas"", ""mulheres""]"
801,misogyny,"[""Fufas"", ""mulheres""]"
802,ageism,"[""GERAÇÃO"", ""VEREM""]"
805,misogyny,"[""evoluiu"", ""eh""]"
811,misogyny,"[""mulher"", ""#MulherDeVerdade""]"
820,capacitism,"[""doentes"", ""idolatrando""]"
820,political,"[""idolatrando"", ""doentes""]"
836,misogyny,"[""mulher."", ""passar""]"
848,lgbtphobia,"[""jeno"", ""cadelinha""]"
857,political,"[""Bolsonaro..Cadê"", ""esquerda""]"
884,misogyny,"[""Mulherzinha"", ""safada""]"
892,body_shame,"[""feia"", ""\""gorda\""""]"
892,misogyny,"[""\""gorda\"""", ""feia""]"
899,misogyny,"[""burra"", ""ler""]"
913,body_shame,"[""gorda"", ""feia""]"
913,misogyny,"[""gorda"", ""feia""]"
927,misogyny,"[""mulher"", ""burra""]"
968,political,"[""esquerda"", ""cadê""]"
983,lgbtphobia,"[""sapatão"", ""estou""]"
983,misogyny,"[""sapatão"", ""dessa""]"
992,political,"[""esquerdistas"", ""cadeia""]"
1003,political,"[""Lula"", ""ele...corrupta.""]"
1015,lgbtphobia,"[""sapatão"", ""nao""]"
1023,racism,"[""branco"", ""aparecendo""]"
1025,racism,"[""desgraça!!!"", ""pretinho,""]"
1031,xenophobia,"[""bixo"", ""sangue""]"
1049,political,"[""STF"", ""forças""]"
1071,lgbtphobia,"[""homofobia"", ""gay,""]"
1074,misogyny,"[""corpo"", ""DEIXA""]"
1081,misogyny,"[""burra"", ""mulher""]"
1082,political,"[""Lula"", ""Bolsonaro!""]"
1095,lgbtphobia,"[""Fufas"", ""mulheres""]"
1095,misogyny,"[""Fufas"", ""mulheres""]"
1097,lgbtphobia,"[""sapatão!"", ""dia,""]"
1097,misogyny,"[""sapatão!"", ""dia,""]"
1108,lgbtphobia,"[""viado,"", ""chatinha""]"
1140,body_shame,"[""FEIA"", ""GORDA""]"
1140,misogyny,"[""GORDA"", ""FEIA""]"
1151,political,"[""bolsonaro"", ""lula""]"
1159,racism,"[""BRANCO"", ""NEGRO""]"
1163,political,"[""Luladrão"", ""pagar""]"
1180,political,[]
1183,aporophobia,"[""pobre"", ""álcool.""]"
1186,misogyny,"[""mulher"", ""burra""]"
1191,political,"[""esquerda"", ""né.""]"
1199,misogyny,"[""homem,"", ""mão""]"
1215,political,"[""ESQUERDA""]"
1222,lgbtphobia,"[""sapatão,"", ""apenas""]"
1222,misogyny,"[""sapatão,"", ""vira""]"
1223,religious_intolerance,"[""islâmico"", ""terrorismo""]"
1223,xenophobia,"[""islâmico"", ""Oriente""]"
1235,lgbtphobia,"[""gay"", ""todas""]"
1243,body_shame,"[""gorda"", ""feia,""]"
1243,misogyny,"[""gorda"", ""feia,""]"
1257,political,"[""foda"", ""homem""]"
1264,misogyny,"[""neném"", ""merda""]"
1280,religious_intolerance,"[""muçulmanos"", ""inferno""]"
1280,xenophobia,"[""muçulmanos"", ""inferno""]"
1290,political,"[""PETRalhas,"", ""população""]"
1301,misogyny,"[""mulheres,"", ""prostituta""]"
1301,political,"[""vcs"", ""discurso""]"
1311,lgbtphobia,"[""viado.""]"
1334,misogyny,"[""vaca"", ""alcool""]"
1352,lgbtphobia,"[""sapatão"", ""homem""]"
1352,misogyny,"[""sapatão"", ""homem""]"
1358,political,"[""VÊ""]"
1366,body_shame,"[""feia,"", ""gorda,""]"
1366,misogyny,"[""mulher."", ""gorda,""]"
1369,political,"[""bolsonaro"", ""governo""]"
1372,racism,"[""branco"", ""negro:""]"
1385,misogyny,"[""feministas"", ""@editorahumanas""]"
1385,political,"[""feministas"", ""@editorahumanas""]"
1393,political,"[""imediatamente"", ""faça""]"
1401,misogyny,"[""#MulherDeVerdade"", ""gosta""]"
1428,political,[]
1455,lgbtphobia,"[""trans"", ""mulher""]"
1455,misogyny,"[""mulher"", ""burra""]"
1456,lgbtphobia,"[""sapatão""]"
1456,misogyny,"[""sapatão"", ""preciso""]"
1464,xenophobia,"[""cidade"", ""merda""]"
1465,political,"[""esquerdopatas"", ""👏👏👏👏👏""]"
1477,lgbtphobia,"[""trans"", ""urgente:""]"
1477,political,"[""bolsonaro"", ""trans""]"
1511,racism,"[""negros"", ""contra""]"
1512,lgbtphobia,"[""sapatão"", ""viado""]"
1512,misogyny,"[""sapatão"", ""viado""]"
1588,lgbtphobia,"[""fufas"", ""jr""]"
1588,misogyny,"[""fufas"", ""jr""]"
1627,lgbtphobia,"[""sapatão\"""", ""mulheres""]"
1627,misogyny,"[""mulheres"", ""sapatão\""""]"
1629,misogyny,"[""mulher,"", ""homem""]"
1644,political,"[""Esquerdopatas"", ""pró-Trump.""]"
1658,political,"[""bolsonaro"", ""faça""]"
1659,lgbtphobia,"[""demonstrar,"", ""valorizar""]"
1666,xenophobia,"[""sulista"", ""gelo""]"
1684,misogyny,"[""piranha???"", ""bonito""]"
1701,political,"[""Pegou"", ""Pepa""]"
1712,misogyny,"[""cadelinha"", ""dentro""]"
1714,misogyny,"[""mulher"", ""burra""]"
1721,political,"[""Brasil,"", ""esquerda""]"
1772,body_shame,"[""gordofobia"", ""pregar""]"
1772,misogyny,"[""aguenta"", ""mina""]"
1782,political,"[""LULADRÃO"", ""NÍVEL""]"
1792,lgbtphobia,"[""gays"", ""deixarem""]"
1803,lgbtphobia,"[""viado???????????????????????"", ""coe""]"
1825,lgbtphobia,"[""viadinho"", ""homofóbico???""]"
1839,political,"[""senadores"", ""política""]"
1843,misogyny,"[""@homemdeverdade"", ""curte""]"
1859,political,"[""comunista!"", ""Pirralha""]"
1879,xenophobia,"[""nordestino"", ""povo""]"
1881,racism,"[""repetir"", ""comia""]"
1896,political,"[""bolsonaro"", ""fez""]"
1903,political,"[""petistas"", ""prender""]"
1907,misogyny,"[""parada"", ""agr""]"
1909,xenophobia,"[""pizza!"", ""paulista""]"
1960,racism,"[""branco"", ""racismo""]"
1968,misogyny,"[""dentro"", ""levar""]"
1973,misogyny,"[""filha"", ""puta""]"
1979,misogyny,"[""feminismo,"", ""fora""]"
1979,political,"[""feministo"", ""defesa""]"
1985,body_shame,"[""#pintoawards"", ""pequeno?""]"
1987,xenophobia,"[""refugiados."", ""países""]"
2002,xenophobia,"[""sulista"", ""dirige""]"
2005,misogyny,"[""putinha"", ""cer""]"
2033,political,"[""ho""]"
2065,xenophobia,"[""tomem"", ""escrota""]"
2084,body_shame,"[""gorda"", ""feia""]"
2084,misogyny,"[""gorda"", ""feia""]"
2099,lgbtphobia,"[""antena"", ""termos""]"
2099,religious_intolerance,"[""termos"", ""antena""]"
2099,xenophobia,"[""antena"", ""termos""]"
2111,political,"[""esquerda"", ""esquerdalhada""]"
2122,misogyny,"[""mulher"", ""burra""]"
2124,misogyny,"[""mulher"", ""homem""]"
2132,political,"[""comunista"", ""Louco,""]"
2134,religious_intolerance,"[""evangélico😬😬😬"", ""demônio""]"
2147,political,"[""acionistas/governo"", ""super""]"
2167,political,[]
2175,misogyny,"[""cadela"", ""vagabunda""]"
2177,misogyny,"[""feia"", ""conservadora,""]"
2188,misogyny,"[""feminino."", ""assiste""]"
2198,lgbtphobia,"[""sapatão"", ""maneira""]"
2198,misogyny,"[""sapatão"", ""maneira""]"
2211,lgbtphobia,"[""homofobia"", ""disse:""]"
2211,misogyny,"[""mentira?"", ""@PastorMalafaia:""]"
2223,political,"[""lula"", ""bolsonaro,""]"
2226,body_shame,"[""cabelo"", ""gorda,""]"
2226,misogyny,"[""filha"", ""gorda,""]"
2226,racism,"[""preto,"", ""sofrendo""]"
2244,xenophobia,"[""refugiado"", ""terrorista""]"
2266,aporophobia,"[""pobres"", ""política""]"
2266,political,"[""direita"", ""pobres""]"
