id,class,relevant_words
4274,ageism,"[""toma vergonha"", ""velho"", ""vagabundo"", ""velho vagabundo""]"
0802,ageism,"[""GERAÇÃO"", ""LIXO"", ""GERAÇÃO É UM LIXO""]"
0345,ageism,"[""se foder"", ""fuzilado"", ""geração"", ""jovens""]"
4970,aporophobia,"[""raiva"", ""pobre"", ""ser pobre"", ""raiva de ser pobre""]"
5780,aporophobia,"[""pobres"", ""lascar""]"
2383,aporophobia,"[""pobre"", ""imbecil""]"
1366,body_shame,"[""feia"", ""gorda"", ""coitada"", ""não se cuida"", ""você que é feia""]"
1140,body_shame,"[""feia"", ""gorda"", ""cara da feia""]"
3472,body_shame,"[""puta"", ""bczinho"", ""56,5kg""]"
3568,capacitism,"[""retardado"", ""explicar o desenho pro retardado""]"
7510,capacitism,"[""fanho"", ""nunca""]"
7723,capacitism,"[""vocês quadrilheiros"", ""não podem pagar""]"
3004,lgbtphobia,"[""gay"", ""homofóbico"", ""viado"", ""ser homofóbico é inevitável""]"
1311,lgbtphobia,"[""viado"", ""é viado""]"
2732,lgbtphobia,"[""veste como mulher é 1º de Abril""]"
2759,misogyny,"[""jaguara"", ""puta"", ""nojent""]"
3714,misogyny,"[""vagabunda""]"
1385,misogyny,"[""feministas"", ""dar"", ""abortar"", ""odeio"", ""censurado"", ""odeio as feministas""]"
5023,political,"[""petralhas""]"
5054,political,"[""esquerdopatas"", ""ativistas"", ""Presidente"", ""ativistas esquerdopatas"", ""TRUMP""]"
5124,political,"[""Bozominions"", ""juiz"", ""corrupto"", ""juiz corrupto""]"
5960,racism,"[""preto"", ""preto do caralho""]"
6845,racism,"[""negros"", ""bandidos""]"
6843,racism,"[""macaco"", ""morra"", ""morra macaco""]"
1280,religious_intolerance,"[""muçulmanos"", ""morrer"", ""inferno"", ""muçulmanos morrer""]"
8008,religious_intolerance,"[""judeu"", ""gás"", ""engole gás é judeu""]"
1223,religious_intolerance,"[""islâmico"", ""terrorismo"", ""radical"", ""ameaça""]"
8620,xenophobia,"[""poeiras"", ""África"", ""muro"", ""construção de um muro""]"
4266,xenophobia,"[""refugiados"", ""baniu todos os refugiados""]"
2002,xenophobia,"[""sulista"",""sulista n me dirige a palavra""]"
