id,class,relevant_words
2,aggressive,"[""vergonha"", ""pqp""]"
2,xenophobia,"[""vergonha da minha raça""]"
3,aggressive,"[""porra""]"
4,aggressive,"[""insuportável""]"
6,aggressive,"[""caçando"", ""puta""]"
6,hate,"[""caçando puta""]"
6,misogyny,"[""puta""]"
6,other,"[""caçando puta""]"
8,aggressive,"[""pqp""]"
8,other,"[""não controla o pinto""]"
15,aggressive,"[""puta que pariu""]"
19,aggressive,"[""frescar"", ""xingo"", ""idiota""]"
20,aggressive,"[""mentindo""]"
21,aggressive,"[""mimadinha""]"
23,aggressive,"[""GLOBOLIXO""]"
27,aggressive,"[""feio"", ""krl""]"
34,aggressive,"[""171"", ""não são bem vindos""]"
34,hate,"[""171"", ""não são bem vindos""]"
34,lgbtphobia,"[""janjão""]"
34,political,"[""lul"", ""janjão"", ""171""]"
34,misogyny,"[""janjão""]"
37,aggressive,"[""meu cu""]"
37,other,"[""meu cu""]"
39,aggressive,"[""Cretino""]"
45,aggressive,"[""fascista"", ""safado"", ""inferno"", ""putaquepariu""]"
45,hate,"[""japonês fascista safado"", ""putaquepariu""]"
45,political,"[""fascista"", ""nacionalistas""]"
45,racism,"[""japonês fascista safado""]"
45,xenophobia,"[""japonês fascista safado""]"
46,other,"[""acumulador de lixo"", ""xingo"", ""ódio""]"
49,aggressive,"[""caralho"", ""deita na porrada"", ""vai toma no cu"", ""filha da puta""]"
49,hate,"[""deita na porrada"", ""vai toma no cu"", ""filha da puta""]"
49,misogyny,"[""filha da puta""]"
49,other,"[""deita na porrada""]"
52,aggressive,"[""vagabunda""]"
52,hate,"[""vagabunda""]"
52,misogyny,"[""vagabunda""]"
52,other,"[""vagabunda""]"
55,aggressive,"[""filho da puta"", ""raiva""]"
55,other,"[""filho da puta""]"
56,aggressive,"[""tirem a mão de mim""]"
56,hate,"[""tirem a mão de mim""]"
56,political,"[""bilionário""]"
58,aggressive,"[""caralho"", ""vtnc""]"
58,hate,"[""caralho"", ""vtnc""]"
58,political,"[""faz o l""]"
59,aggressive,"[""caralho""]"
59,hate,"[""caralho""]"
59,political,"[""faça o l""]"
60,aggressive,"[""anta""]"
63,aggressive,"[""caralhoooo""]"
63,hate,"[""caralhoooo""]"
63,political,"[""faz o l""]"
67,other,"[""gringo chato""]"
70,aggressive,"[""nao tem vergonha na cara""]"
75,aggressive,"[""presídio""]"
76,aggressive,"[""criminalidade""]"
76,hate,"[""prendendo a familia do bolsonaro""]"
76,political,"[""bolsonaro""]"
81,aggressive,"[""câncer"", ""#stfvergonhanacional""]"
81,hate,"[""câncer""]"
81,other,"[""câncer""]"
83,aggressive,"[""tomar no cu""]"
83,other,"[""tomar no cu""]"
