id,class,relevant_words
4274,ageism,"[""toma vergonha"", ""velho"", ""vagabundo"", ""velho vagabundo""]"
4970,aporophobia,"[""raiva"", ""pobre"", ""ser pobre"", ""raiva de ser pobre""]"
1366,body_shame,"[""feia"", ""gorda"", ""coitada"", ""não se cuida"", ""você que é feia""]"
1140,body_shame,"[""feia"", ""gorda"", ""cara da feia""]"
3568,capacitism,"[""retardado"", ""explicar o desenho pro retardado""]"
3004,lgbtphobia,"[""gay"", ""homofóbico"", ""viado"", ""ser homofóbico é inevitável""]"
0143,misogyny,"[""feia"", ""cabeçuda"", ""queixo quadrado"", ""cara de cavalo"", ""cara de traveco""]"
2759,misogyny,"[""jaguara"", ""puta"", ""nojent""]"
3714,misogyny,"[""vagabunda""]"
0063,political,"[""l"", ""faz o l""]"
5023,political,"[""petralhas""]"
5054,political,"[""esquerdopatas"", ""ativistas"", ""Presidente"", ""ativistas esquerdopatas"", ""TRUMP""]"
5124,political,"[""Bozominions"", ""juiz"", ""corrupto"", ""juiz corrupto""]"
5151,racism,"[""latinos"", ""imundos"", ""latinos imundos""]"
5960,racism,"[""preto"", ""preto do caralho""]"
6845,racism,"[""negros"", ""bandidos""]"
7663,racism,"[""mulambo"", ""rola"", ""caçar uma rola""]"
6843,racism,"[""macaco"", ""morra"", ""morra macaco""]"
1280,religious_intolerance,"[""muçulmanos"", ""morrer"", ""inferno"", ""muçulmanos morrer""]"
8008,religious_intolerance,"[""judeu"", ""gás"", ""engole gás é judeu""]"
1223,religious_intolerance,"[""islâmico"", ""terrorismo"", ""radical"", ""ameaça""]"
8620,xenophobia,"[""poeiras"", ""África"", ""muro"", ""construção de um muro""]"
4266,xenophobia,"[""refugiados"", ""baniu todos os refugiados""]"
1385,misogyny,"[""feministas"", ""dar"", ""abortar"", ""odeio"", ""censurado"", ""odeio as feministas""]"
