id,class,relevant_words
4274,ageism,"[""vergonha"", ""velho"", ""vagabundo""]"
0802,ageism,"[""GERAÇÃO"", ""LIXO,""]"
0345,ageism,"[""foder"", ""fuzilado"", ""geração"", ""jovens""]"
4970,aporophobia,"[""raiva"", ""pobre!""]"
5780,aporophobia,"[""pobres"", ""lascar""]"
2383,aporophobia,"[""pobre"", ""imbecil""]"
1366,body_shame,"[""feia,"", ""gorda,"", ""coitada.""]"
1140,body_shame,"[""feia"", ""gorda""]"
3472,body_shame,"[""puta"", ""bczinho"", ""56,"", ""5kg""]"
3568,capacitism,"[""retardado""]"
7510,capacitism,"[""fanho???"", ""nunca""]"
7723,capacitism,"[""quadrilheiros""]"
3004,lgbtphobia,"[""gay"", ""homofóbico"", ""viado"", ""inevitável""]"
1311,lgbtphobia,"[""viado.""]"
2732,lgbtphobia,"[""veste"", ""mulher"", ""1º"", ""Abril""]"
2759,misogyny,"[""jaguara"", ""puta"", ""nojent""]"
3714,misogyny,"[""vagabunda""]"
1385,misogyny,"[""feministas"", ""dar"", ""abortar!"", ""odeio"", ""censurado""]"
5023,political,"[""petralhas.!""]"
5054,political,"[""esquerdopatas"""", """"ativistas"", ""Presidente"", ""#TRUMP.""]"
5124,political,"[""Bozominions"", ""juiz"", ""corrupto,""]"
5960,racism,"[""preto"", ""caralho,""]"
6845,racism,"[""negros"", ""bandido""]"
6843,racism,"[""macaco"", ""morra""]"
1280,religious_intolerance,"[""muçulmanos"", ""morrer,"", ""inferno""]"
8008,religious_intolerance,"[""judeu"", ""gás""]"
1223,religious_intolerance,"[""islâmico"", ""terrorismo"", ""radical"", ""ameaça""]"
8620,xenophobia,"[""poeiras"", ""África"", ""muro?""]"
4266,xenophobia,"[""refugiados."", ""baniu""]"
2002,xenophobia,"[""sulista""]"
