id,class,relevant_words
2,xenophobia,"[""vergonha"", ""raça""]"
6,misogyny,"[""puta""]"
34,lgbtphobia,"[""casal"", ""não são bem vindos""]"
34,misogyny,"[""janjão""]"
34,political,"[""lul"", ""população""]"
45,political,"[""fascista"", ""nacionalistas""]"
45,racism,"[""japonês"", ""asiático""]"
45,xenophobia,"[""japonês"", ""holocausto asiático""]"
49,misogyny,"[""filha da puta"", ""caralho""]"
52,misogyny,"[""vagabunda""]"
56,political,"[""bilionário""]"
58,political,"[""faz o l"", ""vtnc""]"
59,political,"[""faça o l""]"
63,political,"[""faz o l"", ""caralhoooo""]"
76,political,"[""familia do bolsonaro"", ""criminalidade""]"
86,political,"[""aproveitadora"", ""esquerdalhas"", ""nojentos""]"
93,political,"[""heresia"", ""fanatismo"", ""bovídeos""]"
109,body_shame,"[""patinho feio"", ""coitada""]"
111,misogyny,"[""mulher faz igual e pior""]"
112,political,"[""desastre"", ""vergonhoso""]"
113,political,"[""chupa"", ""gadaiada""]"
117,political,"[""imbecis"", ""esquerdistas""]"
120,misogyny,"[""papa tudo""]"
143,lgbtphobia,"[""traveco""]"
143,misogyny,"[""cara de cavalo"", ""feia"", ""cabeçuda""]"
155,political,"[""ladrões"", ""corruptos""]"
171,misogyny,"[""puta""]"
173,misogyny,"[""namorada""]"
175,misogyny,"[""gorda"", ""magra"", ""alta"", ""baixa"", ""feia""]"
199,lgbtphobia,"[""travesti""]"
218,body_shame,"[""feia"", ""gorda""]"
218,misogyny,"[""feia"", ""gorda""]"
223,lgbtphobia,"[""viado"", ""sapatão""]"
223,misogyny,"[""sapatão""]"
231,misogyny,"[""blogueirinha""]"
231,political,"[""faz o l""]"
248,misogyny,"[""caralhoo"", ""caralho""]"
258,lgbtphobia,"[""orgulhohetero""]"
262,lgbtphobia,"[""casamento gay""]"
271,misogyny,"[""filha da puta""]"
296,political,"[""cartão bolsonaro""]"
325,misogyny,"[""burra"", ""trouxa""]"
338,xenophobia,"[""islã"", ""refugiados""]"
344,political,"[""fudendo""]"
345,ageism,"[""jovens"", ""se foder"", ""fuzilado""]"
357,political,"[""gabinete do ódio""]"
378,xenophobia,"[""sulista""]"
379,political,"[""desgoverno"", ""comitiva"", ""hotéis luxuosos""]"
380,misogyny,"[""preguiçosa"", ""vagabunda""]"
391,racism,"[""preto"", ""pretinho"", ""pretao"", ""buraco negro"", ""carvão""]"
398,misogyny,"[""ofendida"", ""vítima de abuso sexual""]"
454,political,"[""Bozonarianos"", ""lixos humanos"", ""fascista"", ""miliciano"", ""bandidos""]"
473,misogyny,"[""fêmea temporária""]"
487,political,"[""cadeia""]"
501,body_shame,"[""cao""]"
501,misogyny,"[""mae"", ""cao""]"
503,xenophobia,"[""china""]"
510,body_shame,"[""cabeça de ovo""]"
535,lgbtphobia,"[""feia"", ""qnd homem"", ""mulher"", ""feio""]"
551,ageism,"[""esclerosado""]"
551,capacitism,"[""esclerosado""]"
567,aporophobia,"[""miserável""]"
583,lgbtphobia,"[""viado""]"
599,political,"[""socialista de merda""]"
619,lgbtphobia,"[""sapatao""]"
619,misogyny,"[""sapatao""]"
687,misogyny,"[""gata"", ""mulher feia"", ""mulher bonita""]"
718,lgbtphobia,"[""frouxo"", ""covarde""]"
726,lgbtphobia,"[""bixa""]"
726,political,"[""bolsonaro""]"
734,misogyny,"[""corna""]"
736,misogyny,"[""Porca"", ""asquerosa""]"
741,lgbtphobia,"[""XX ou XY""]"
741,misogyny,"[""GORDO"", ""MAGRO""]"
751,political,"[""esquerda"", ""DUZINFERNOS""]"
762,political,"[""esquerda"", ""desmoralizar""]"
771,misogyny,"[""vai se foder"", ""corpo das dominicanas""]"
775,misogyny,"[""grávida""]"
788,political,"[""esquerdopatas"", ""marrom-cocô""]"
794,lgbtphobia,"[""sapatão""]"
800,racism,"[""Malditos chineses""]"
800,xenophobia,"[""Malditos chineses""]"
801,lgbtphobia,"[""Fufas""]"
801,misogyny,"[""Fufas""]"
802,ageism,"[""GERAÇÃO"", ""LIXO""]"
805,misogyny,"[""bucetaaaa""]"
811,misogyny,"[""osso torto"", ""endireitá-la""]"
820,capacitism,"[""doentes""]"
820,political,"[""bandidos""]"
836,misogyny,"[""óleo de peroba""]"
848,lgbtphobia,"[""cadelinha passiva""]"
857,political,"[""lixo"", ""esquerda""]"
884,misogyny,"[""Mulherzinha"", ""safada""]"
892,body_shame,"[""feia"", ""gorda""]"
892,misogyny,"[""feia"", ""gorda""]"
899,misogyny,"[""burra""]"
913,body_shame,"[""gorda"", ""feia""]"
913,misogyny,"[""gorda"", ""feia""]"
927,misogyny,"[""burra""]"
968,political,"[""esquerda"", ""hipócritas""]"
983,lgbtphobia,"[""sapatão""]"
983,misogyny,"[""sapatão""]"
992,political,"[""esquerdistas fanáticos""]"
1003,political,"[""corrupta""]"
1015,lgbtphobia,"[""sapatão""]"
1023,racism,"[""branco""]"
1025,racism,"[""pretinho""]"
1031,xenophobia,"[""petropolitano""]"
1049,political,"[""miseráveis""]"
1071,lgbtphobia,"[""gay""]"
1074,misogyny,"[""corpo de merda"", ""IMBECIL""]"
1081,misogyny,"[""burra""]"
1082,political,"[""ladrão""]"
1095,lgbtphobia,"[""Fufas""]"
1095,misogyny,"[""Fufas""]"
1097,lgbtphobia,"[""sapatão""]"
1097,misogyny,"[""sapatão""]"
1108,lgbtphobia,"[""viado""]"
1140,body_shame,"[""FEIA"", ""GORDA""]"
1140,misogyny,"[""FEIA"", ""GORDA""]"
1151,political,"[""pescoço de frango""]"
1159,racism,"[""BRANCO"", ""NEGRO"", ""VERGONHA""]"
1163,political,"[""Luladrão"", ""MARGINAL"", ""VAGABUNDO"", ""VELHO"", ""BODE""]"
1180,political,"[""fazer o l""]"
1183,aporophobia,"[""pobre"", ""cacife""]"
1186,misogyny,"[""burra""]"
1191,political,"[""esquerda"", ""presa""]"
1199,misogyny,"[""mão de homem""]"
1215,political,"[""ENGULAM ESQUERDA""]"
1222,lgbtphobia,"[""sapatão""]"
1222,misogyny,"[""sapatão""]"
1223,religious_intolerance,"[""terrorismo radical islâmico""]"
1223,xenophobia,"[""terrorismo radical islâmico""]"
1235,lgbtphobia,"[""gay""]"
1243,body_shame,"[""gorda"", ""feia""]"
1243,misogyny,"[""gorda"", ""feia""]"
1257,political,"[""faz o l""]"
1264,misogyny,"[""surtada""]"
1280,religious_intolerance,"[""muçulmanos"", ""inferno""]"
1280,xenophobia,"[""muçulmanos"", ""inferno""]"
1290,political,"[""PETRalhas"", ""baderna""]"
1301,misogyny,"[""misoginia"", ""empregada"", ""prostituta"", ""parideira""]"
1301,political,"[""redpill"", ""nazista""]"
1311,lgbtphobia,"[""viado""]"
1334,misogyny,"[""tesaozin de vaca""]"
1352,lgbtphobia,"[""sapatão""]"
1352,misogyny,"[""sapatão""]"
1358,political,"[""ESQUERDOPATIA""]"
1366,body_shame,"[""feia"", ""gorda"", ""coitada""]"
1366,misogyny,"[""feia"", ""gorda"", ""coitada""]"
1369,political,"[""pts""]"
1372,racism,"[""branco"", ""negro""]"
1385,misogyny,"[""feministas"", ""dar"", ""abortar""]"
1385,political,"[""censurado""]"
1393,political,"[""faça o l""]"
1401,misogyny,"[""MulherDeVerdade""]"
1428,political,"[""FORAQUADRILAPTNUNCAMAIS""]"
1455,lgbtphobia,"[""trans"", ""versões piratas de mulher""]"
1455,misogyny,"[""burra""]"
1456,lgbtphobia,"[""sapatão""]"
1456,misogyny,"[""sapatão""]"
1464,xenophobia,"[""cidade de merda"", ""lixo""]"
1465,political,"[""esquerdopatas""]"
1477,lgbtphobia,"[""trans""]"
1477,political,"[""bolsonaro""]"
1511,racism,"[""negros""]"
1512,lgbtphobia,"[""sapatão"", ""viado""]"
1512,misogyny,"[""sapatão"", ""viado""]"
1588,lgbtphobia,"[""fufas""]"
1588,misogyny,"[""fufas""]"
1627,lgbtphobia,"[""sapatão""]"
1627,misogyny,"[""sapatão""]"
1629,misogyny,"[""homem"", ""mulher""]"
1644,political,"[""Esquerdopatas"", ""merda da esquerda""]"
1658,political,"[""salafrário""]"
1659,lgbtphobia,"[""ama""]"
1666,xenophobia,"[""sulista""]"
1684,misogyny,"[""piranha""]"
1701,political,"[""doidaaaaaaa""]"
1712,misogyny,"[""cadelinha desgraçada""]"
1714,misogyny,"[""burra""]"
1721,political,"[""esquerda"", ""oportunistas""]"
1772,body_shame,"[""gordofobia""]"
1772,misogyny,"[""gordofobia""]"
1782,political,"[""PILANTRA"", ""LULADRÃO""]"
1792,lgbtphobia,"[""gays"", ""CURA""]"
1803,lgbtphobia,"[""viado""]"
1825,lgbtphobia,"[""viadinho"", ""homofóbico""]"
1839,political,"[""bosta""]"
