id,class,relevant_words
2,aggressive,"[""pqp""]"
2,xenophobia,"[""vergonha"", ""raça""]"
3,aggressive,"[""porra""]"
4,aggressive,"[""insuportável""]"
6,aggressive,"[""puta""]"
6,hate,"[""caçando"", ""puta""]"
6,misogyny,"[""puta""]"
6,other,"[""puta""]"
8,aggressive,"[""pqp""]"
8,other,"[""pinto"", ""pqp""]"
15,aggressive,"[""puta"", ""que"", ""pariu""]"
19,aggressive,"[""idiota"", ""xingo""]"
20,aggressive,"[""mentindo""]"
21,aggressive,"[""mimadinha""]"
23,aggressive,"[""GLOBOLIXO""]"
27,aggressive,"[""krl""]"
34,aggressive,"[""171"", ""não"", ""são"", ""bem"", ""vindos""]"
34,hate,"[""janjão"", ""171"", ""não"", ""são"", ""bem"", ""vindos""]"
34,lgbtphobia,"[""janjão""]"
34,political,"[""lul??"", ""janjão"", ""171""]"
34,misogyny,"[""janjão""]"
37,aggressive,"[""cu""]"
37,other,"[""cu""]"
39,aggressive,"[""Cretino""]"
45,aggressive,"[""safado"", ""inferno"", ""putaquepariu""]"
45,hate,"[""fascista"", ""safado"", ""inferno"", ""putaquepariu""]"
45,political,"[""fascista"", ""nacionalistas""]"
45,racism,"[""japonês"", ""safado""]"
45,xenophobia,"[""japonês"", ""safado"", ""holocausto"", ""asiático""]"
49,aggressive,"[""caralho"", ""porrada"", ""toma"", ""no"", ""cu"", ""filha"", ""da"", ""puta""]"
49,hate,"[""caralho"", ""porrada"", ""toma"", ""no"", ""cu"", ""filha"", ""da"", ""puta""]"
49,misogyny,"[""filha"", ""da"", ""puta""]"
49,other,"[""caralho"", ""cu"", ""filha"", ""da"", ""puta""]"
52,aggressive,"[""vagabunda""]"
52,hate,"[""vagabunda""]"
52,misogyny,"[""vagabunda""]"
52,other,"[""vagabunda""]"
55,aggressive,"[""filho"", ""da"", ""puta"", ""raiva""]"
55,other,"[""filho"", ""da"", ""puta""]"
56,aggressive,"[""tirem"", ""a"", ""mão"", ""de"", ""mim""]"
56,hate,"[""bilhões"", ""para"", ""bilionário""]"
56,political,"[""combustível"", ""bilhões"", ""para"", ""bilionário""]"
58,aggressive,"[""caralho"", ""vtnc""]"
58,hate,"[""caralho"", ""vtnc""]"
58,political,"[""faz"", ""o"", ""l""]"
59,aggressive,"[""caralho""]"
59,hate,"[""caralho""]"
59,political,"[""gasolina"", ""gás"", ""faça"", ""o"", ""l""]"
60,aggressive,"[""anta""]"
63,aggressive,"[""caralhoooo""]"
63,hate,"[""caralhoooo""]"
63,political,"[""faz"", ""o"", ""l""]"
70,aggressive,"[""nao"", ""tem"", ""vergonha""]"
75,aggressive,"[""presídio""]"
